	item	desc	domain	meaning	example_1	example_2	example_3	example_4
8304	baxtli	adj | NX+dan ~	Circumstances	fortunate, lucky, happy at X	U uning muvaffaqiyatlaridan baxtlidir.	She's happy at her successes.		
8305	baxtsiz	adj	Circumstances	unfortunate, unlucky, unhappy				
8308	baxtiyor	adj	Circumstances	fortunate, lucky, happy (moment, event)	Bu mamlakatning aholisi baxtiyordir.	The people of this country is lucky.		
8309	OMAD	n	Circumstances	luck, success				
8322	QUTLUG'	adj	Circumstances	propitious	Yangi yilingiz qutlug' bo'lsin!	Happy new year!		
8328	FALOKAT	n	Circumstances	ill-fortune, disaster, calamity	U falokatga uchradi.	He suffered ill-fortune.		
8347	UCHRA-	v.int | NX+ga ~	Circumstances	meet X, run into X, hit upon X | experience X(=bad situation), fall ill with X(=illness)	Bu qishloq aholisi yer qimirlash ofatiga uchradi.	The inhabitants of this village experienced the misfortune of an earthquake.	U bola bo'g'ma kasaliga uchradi.	That child has contracted diphteria.
8349	TUSH-	NX+ga ~(+ib qol-)	Circumstances	fall in/on/into X(=bad situation)	U dilgirlik kayfiyatiga tushib qoldi.	He felt into a melancholic mood.	Boshga tushganni ko'z ko'rar.	We will see what happens.
8354	QIYIN	adj	Circumstances	difficult, complicated, hard	Bunga erishish menga qiyin bo'ldi.	It was difficult for me to get it.	Bu ishni qilish qiyin.	This work is difficult to do.
8359	qiyinchilik	n	Circumstances	difficulty				
8361	OSON	adj	Circumstances	easy, light, simple	Bu oson ish.	This is light work.		
8365	OG'IR	adj	Circumstances	heavy, weighty | difficult, hard	Dehqonlarning og'ir mehnatini yengillashtirish kerak.	The heavy labour of farmworkers must be lightened.	U og'ir hayot kechiradi.	He has a hard life.
8369	og'irchilik	n	Circumstances	difficulty, hardness				
8373	YENGIL	adj	Circumstances	light (l/f)	Bu kitob og'ir, unisi esa yengil.	This book is heavy but that one is light.		
8391	QULAY	adj	Circumstances	convenient, handy, comfortable	O'qishga qulay vaqt topmoq.	Find the right time for studying.		
8398	SHINAM	adj	Circumstances	comfortable, cozy, nice				
8399	XAVF	n	Circumstances	danger, threat	Dunyoda urush xavfi bor.	There is a threat of war in the world.	Hech qanday xavf yo'q.	There is no danger.
8404	xavfli	adj | NX uchun ~	Circumstances	dangerous to X, perilous				
8405	xavfsiz	adj	Circumstances	safe				
8406	xavfsizlik	n	Circumstances	safety				
8409	XATAR	n	Circumstances	danger, hazard				
8420	USUL	n | VX+ish ~+i	Manner	method (of Xing), manner (of X), way of (Xing), procedure | form, style	Dars berish usulini o'zgartirish kerak.	The method of teaching must be changed.	Mana shu usulda ishlash kerak.	Work must be done in this way.
8430	VOSITA	n	Manner	means, measures, method	Bizga ishlab chiqarish vositalari kerak.	We need the means of production.		
8432	vositasiz	adj	Manner	direct				
8436	TADBIR	n | NX+ning tadbir+i	Manner	measure, steps, precaution for X	Bu yil paxta terish tadbirlari muvaffaqiyatli amalga oshirildi.	This year the measures for harvesting of cotton were successfull.	Boshqaga bir tadbir o'ylab topish kerak.	Some other way must be found.
8440	ILOJ	n | N(ish)X+ga ~	Manner	means, way, possibility of X	Uning bundan boshqa ishni qilishga iloji yo'q.	He has no possibility of doing other work than this.		
8444	ilojsiz	adj	Manner	beyond remedy, without solution | having no way out				
8445	CHORA	n | N(ish)X+ga ~	Manner	way, means of X | action, measures	Bu mashinani tuzatishga hech qanaday chora yo'q.	There is no way at all of repairing this machine.		
8450	BILAN	post | NX ~	Manner	with X, by means of X, and X	Choyni qand bilan ichaman.	I take tea with sugar.	Qalam bilan yozaman.	I will write with a pencil.
8451	ORQALI	post | NX ~	Manner	by means of X, through X, via X	Radio orqali eshitirmoq.	To broadcast over the radio.	Samarqandga poyezd orqali keldim.	I came to Samarkand by train.
8454	bo'yicha	post | NX ~	Manner	throughout X, all over X, all along X | in accordance with X, in connection with X	Bu ishni qonun bo'yicha qildim.	I did this in accordance with the law.		
8465	qaramay	post | N(ishi)X+ga ~	Manner	although X, notwithstanding X				
8468	KO'RA	post | N(ish)X+ga ~	Manner	in accordance with X, according to X, because of X	U odamning aytishiga ko'ra, yig'ilishga besh kishi kelgan.	According to this man, only five people came to the meeting.		
8469	foydalan-	v.int | NX+dan (N(ish)Y uchun) ~	Manner	take advantage of X, use, make use of X, utilize X (for Y), handle X	Uyni yig'ishtirish vaqtida bir changyutgichdan foydalanamiz.	During the cleaning we make use of a vacuum cleaner.	Sen termometrdan ehtiyotlik bilan foydalanishing kerak.	You must handle the thermometer carefully.
8470	ishlat-	v.t	Manner	use, utilize, employ				
8472	qo'lla-	v.t	Manner	use, utilize, employ, adopt	Bu yangi iborani u noto'g'ri qo'lladi.	He has used this new expression wrongly.	To'g'ri ko'makchi fe'lni qo'llang.	Use it with the right auxiliary.
8475	ISTE'MOL	n	Manner	use; consumption	Keng iste'mol mollari yetishmaydi.	Consumer goods are in short supply.		
8484	SARF	NX+ni NY+ga sarf qil-	Manner	spend X for Y; use X for Y	Motor 100 kilometrga 8 litr benzin sarf qiladi.	The engine uses 8 liters for 100 kilometers.	Bu lug'atni tuzish uchun ko'p vaqt sarf qilindi.	A great deal of time was spent in compiling this dictionary.
8486	sarfla-	v.t | NX+ni N(ish)Y+ga ~	Manner	spend X on Y, expend X on Y, allocate X for Y	O'zbekiston hukumati xalq ta'limiga katta mablag' sarflaydi.	The government of Uzbekistan allocates large sums of money for education.	Men kitob o'qishga ko'p vaqt sarflayman.	I spend a lot of time on reading.
8489	ISROF	isrof qil-	Manner	waste, squander	Pulni o'rinsiz isrof qilmang!	Don't waste money!		
8502	XIZMAT	NX+ga xizmat qil-	Manner	serve X	Bu bitim mudofaa maqsadlariga xizmat qiladi.	The pact serves defensive purposes.		
8504	tayan-	v.int | NX+ga ~	Manner	lean on/against X | rely on X, rest on X	Hozirgi zamon diagnostikasi psixologiyadagi eng yangi bilimlarga tayanadi.	Modern diagnostics rest on the latest knowledge in psychology.		
8506	CHIQ-	v.int | VX+ib ~	Manner	do X thoroughly	Bosmaxonadan kelgan korrekturani ko'rib chiqdim.	I looked through the proofs from the printers.	Men hozir qo'shinmiznikidan choy ichib chiqdim.	I have already had tea at our neighbours.
8515	ASTOYDIL	jon ber-	Manner	give one's life | do wholeheartedly	U jon berib ishlaydi.	He works wholeheartedly.		
8525	DIQQAT	n	Manner	attention, care, caution				
8527	DIQQAT	diqqat bilan	Manner	carefully, attentively	Brigadir ish paytida unga diqqat bilan qarab turdi.	The brigade-ender observed him working for a long time.	U g'ildiraklarning taqillashiga diqqat bilan quloq soldi.	He listened for the rumble of the weels.
8533	E'TIBOR	n	Manner	attention | authority				
8534	E'TIBOR	NX+ga ~ ber-	Manner	pay attention to X, give consideration for X	Uning o'g'li adabiyot fanini o'rganadi, u ayniqsa rus adabiyotiga ko'p e'tibor beradi.	Her son is studying literature, he gives consideration especially for the Russian literature.	O'z talaffuzingizga e'tibor bering.	Pay attention to your pronunciation.
8535	E'TIBOR	NX+ni e'tiborga ol-	Manner	take X into consideration, take into account X, regard X	Radioeshittirish tinglovchilarning istaklarini e'tiborga oladi.	The broadcasting takes into account the wishes of hearers.	Siz yana bir holatni e'tiborga olishingiz kerak.	You must take into account of one more argument.
8539	e'tiborsiz	NX+ga ~ qara-	Manner	pay no attention to X, be deaf to X, neglect, ignore X	Men qora ishga e'tiborsiz qaramayman.	I don't ignore dirty work.	U barcha iltimoslarga e'tiborsiz qaradi.	He was deaf to all requests.
8543	EHTIYOT	n	Manner	care, caution, safeguard	Ehtiyot urug'ligini keltiring!	Bring me the reserve supply of seeds!		
8546	EHTIYOT	NX+ni ehtiyot qil-	Manner	take care of X, treat X with care, caution | set aside, reserve	Mening ehtiyot qilingan pulim bor.	I have some money in reserve.		
8551	ehtiyotkor	adj	Manner	careful, cautious, prudent, circumspect				
8554	SAQLA-	v.t	Manner	keep, guard, safeguard, take care of	Bu kitobni saqlab qo'ying!	Take care of this book please!	Soqchilarimiz chegarani saqlamoqdalar.	Our guards are guarding the frontiers.
8555	saqlan-	v.int | N(ish)X+dan ~	Manner	take precautions, guard against X, beware of X	Har kim shamollashdan saqlanishi kerak.	Everyone has to beware of chill.	Bu odamdan saqlaning.	Beware of this man.
8558	beparvo	adj	Manner	careless, negligent				
8565	puxtalik	NX haqida jon kuydir-	Manner	be concerned with X, care for X, take care of X, treasure X	Navbatchi sinfda tartib saqlanishi haqida jon kuydiradi.	The pupil on duty takes care of the order in the classroom.		
8568	KUT-	v.t	Manner	wait for | look after, receive, entertain (guests)	U mehmonlarini yaxshi kutdi.	He looked after his guests well.		
8569	BOQ-	v.t	Manner	take care of, bring up | feed, pasture	Bola boqish qiyin.	Bringing up children is difficult.		
8573	QARA-	v.int | NX+ga ~	Manner	look after X, take care of X, nurse X | treat X	Qariya yangi tanishiga ishonch bilan qaradi va unga o'z o'g'li haqida gapirib berdi.	The old man treated trustfully the new acquaintance and told him about his son.		
8581	ogohlantir-	v.t	Manner	warn, forewarn, caution, admonish				
8582	ogohlantir-	v.t | NX+ni N(ish)Y haqida ~+ib qo'y-	Manner	warn X of Y, forewarn X of Y, caution, admonish X against Y	Doktor uni o'rnidan turmasligi haqida ogohlantirib qo'ydi.	The doctor warned him not to get up.		
8586	NAZORAT	n	Manner	control, supervision	Ular politsiya nazorati ostida.	They are under police surveillance.		
8593	OSOYISHTA	ad	Manner	quiet(ly), calm(ly), gentle(ly), careful(ly)	Osoyishta hayot kechirmoq.	To have a quiet life.	Tovoqlarni bu yerga osoyishta qo'ying.	Put the plates down here carefully please.
8595	TEKIS	ad	Manner	smooth(ly); level	Bu qog'oz tekis.	This paper is smooth.	Bu yer tekis.	This place is level.
8599	zo'rlik	n	Manner	violence				
8604	ALDA-	v.t | NX+da NY+ni alda-	Manner	deceive Y with X	U to'lov muddatida uni aldadi.	He deceived her with the term of payment.	U sizni aldash uchun harakat qildi.	He tried to deceive you.
8607	aldamchi	n	Manner	cheat, swindler, deceiver	Bu odamdan ehtiyot bo'lish kerak, chunki aldamchidir.	One must be careful of that man because he is a deceiver.		
8613	g'irromlik	g'irromlik qil-	Manner	cheat				
8615	YOLG'ON	n	Manner	lie, falsehood	Uning so'zi yolg'onga chiqarildi.	His words proved to be lies.		
8616	YOLG'ON	NX+ga ~ gapir-	Manner	lie, tell lies to X	Bola ota-onasiga yolg'on gapirmaydi.	The child doesn't lie to his parents.		
8617	YOLG'ON	yolg'on so'zla-	Manner	lie, tell lies				
8625	HIYLA	n	Manner	cunning, guile, trick, ruse	Uning hiylasiga ishonmang.	Don't be taken in by his guile.		
8643	MUOMALA	n	Behaviour	behaviour, conduct | relations				
8652	qiliq	o'z+ini tut-	Behaviour	behave				
8658	YAXSHI	ad	Behaviour	good, fine, well, nice, kind	Bu yaxshi odam.	He is a good man.	U yaxshi o'qiydi.	He reads well.
8659	yaxshilik	n	Behaviour	kindness, goodness; good deed				
8663	MULOYIM	adj	Behaviour	soft, mild, silken | gentle, mild, fond	Bu kishi muloyim.	This man is gentle.		
8671	yumshoq	adj	Behaviour	soft, mild	Bu yostiq yumshoq.	This pillow is soft.		
8675	ko'ngilchan	adj	Behaviour	soft-hearted, good-hearted				
8680	YOMON	ad	Behaviour	bad, wicked, evil				
8682	YOVUZ	adj	Behaviour	evil, ferocious	Ular bizning yovuz dushmanimiz.	They are our arch-enemies.		
8705	SAXIY	adj | NX+ga ~	Behaviour	generous, liberal towards X	Bu saxiy odamdir.	He is a generous man.		
8707	SAXOVAT	adj	Behaviour	generosity, philantropy				
8709	MURUVVAT	n	Behaviour	humanity, generosity, leniency	Sizning muruvvatingizni unutmaymiz.	We will not forget your generosity.		
8717	FAZILAT	n	Behaviour	virtue, worth, moral character	Bu odamda fazilat yo'q.	This is a man of no worth.		
8723	PAST	adj	Behaviour	low, mean	Nazari past odam.	Mean man.		
8726	yaramas	adj	Behaviour	vile, low				
8732	IFLOS	adj	Behaviour	dirty (l/f), filthy, muddy | mean	Bu uy iflos.	This house is dirty.		
8738	XUDBIN	adj	Behaviour	egoist, selfish	Bolani xudbin qilib tarbiyalamoq.	To bring up a child so that he becomes egoistical.		
8740	XASIS	adj	Behaviour	mean, stingy, miserly	U xasis odamdir.	He is a mean man.		
8746	VIJDON	n	Behaviour	conscience	Bu ishning qilishini vijdonim qabul qilmadi.	My conscience did not permit me to do this.		
8750	AXLOQ	n	Behaviour	morals, morality	U odamda axloq yo'q.	This man has no morals.		
8762	ADOLAT	n	Behaviour	justice, righteousness	Bu mamlakatda adolat bor.	There is justice in this country.		
8768	insofli	adj	Behaviour	honest, fair	Bu uning insofli ekanligidan darak beradi.	That's honest from him.		
8779	SODIQ	adj | NX+ga ~	Behaviour	faithful, true, loyal, sincere to X	It o'z egasiga sodiq.	The dog is true to his master.	Men o'z va'damga sodiqman.	I am faithful to my promise.
8790	ochiq	adj	Behaviour	open	Eshik ochiq.	The door is open.		
8791	ochiq	adv	Behaviour	openly, clearly, frankly	U ochiq so'zladi.	He spoke clearly.		
8804	SAMIMIY	adj	Behaviour	sincere, hearty, cordial	Sizga samimiy tashakkur aytaman.	I give you hearty thanks.	U sizga samimiy salom bildirdi.	He sends you sincere greetings.
8818	MUNOFIQ	adj, n	Behaviour	hypocritical, treacherous; hypocrite	U munofiq odam.	He is a hypocrite.		
8820	XIYONAT	n	Behaviour	treachery, betrayal	Uning xiyonatini oshkora qildik.	We exposed his treachery.		
8821	XIYONAT	NX+ga xiyonat qil-/et-	Behaviour	betray X, deceive X; abuse X	U bizning umumiy ishimizga xiyonat qildi.	He has betrayed our common case.	O'ylaymanki, u bizning ishonchimizga xiyonat qilmaydi.	I think that he will not abuse our confidence.
8825	XOIN	n	Behaviour	traitor, renegade				
8837	g'irromlik	g'irromlik qil-	Behaviour	cheat				
8838	VA'DA	n	Behaviour	promise, word, pledge	U va'dasidan qaytdi.	He went back on his word.		
8839	VA'DA	NY+ga VX+ishga ~ ber-	Behaviour	promise Y to X, make a promise to Y, guarantee X	U menga va'da berdi.	He promised me.		
8851	VAFO	n	Behaviour	promise				
8852	VAFO	NX+ga vafo qil-	Behaviour	be true to X(=promise), keep one's word	U va'dasiga vafo qildi.	He was true to his promise.		
8858	QASAM	NX uchun ~ ich-	Behaviour	take an oath to X, swear to X	Vatan mudofaasi uchun qasam ichdilar.	They took an oath to defend the fatherland.		
8868	ISHON-	v.int | N(ish)X+ga~	Behaviour	believe in X	Biz tinchlik harakati g'alabasiga ishonamiz.	We believe in the victory of the movement for peace.	Men sening so'zlaringga ishonolmayman.	I cannot believe what you say.
8869	ISHON-	v.int | NX+ga ~	Behaviour	trust X, believe X, confide in X | rely on X, count on X	Unga ishonsa bo'ladimi?	Can we rely on him?	Sen mening yordamimga ishonishing mumkin.	You may count on my help.
8872	ishonch	n | NX+ga ~	Behaviour	(positive) belief, confidence, faith in X	Men ishonamanki, sen bizning senga bo'lgan ishonchimizni oqlaysan.	I hope, you'll justify our confidence in you.		
8877	SHUBHA	n | NX haqidagi ~	Behaviour	doubt, suspicion about X	Uning fikrlarining to'g'riligi haqida shubha unda ortib bordi.	In her increased the doubt about the truthfulness of his assertions.	Uning haqida hech bir shubham yo'q.	I have no doubts about him.
8883	GUMON	n	Behaviour	suspicion, doubt (about people)				
8894	adabli/ odobli	adj	Behaviour	polite, courteous, well-mannered				
8897	adabsiz	adj	Behaviour	impolite, discourteous, ill-mannered				
8901	xushmuomala	adj | NX+ga ~	Behaviour	polite, courteous, solicitous, friendly with X	Chol bolalarga xushmuomala.	The old man is friendly with the children.		
8904	MARHAMAT	n	Behaviour	consideration, favour, grace | please	Marhamat o'tiring!	Please sit down!		
8905	MARHAMAT	NX+ga marhamat qil-	Behaviour	be considerate to X	Unga marhamat qiling!	Be considerate to him please!		
8910	HAQORAT	n	Behaviour	insult	Ahmad Toshmatning haqoratiga qarshi javob berdi.	Ahmad replied to Tashmat's insult.		
8911	HAQORAT	NX bilan haqorat qil-	Behaviour	insult, offend by X	Sen o'z so'zlaring bilan uni haqorat qilding.	You have insulted him by your words.	Nima uchun siz uni haqorat qildingiz?	Why did you insult him?
8919	SEV-	v.t	Feelings	love	Men sevish va sevilishni istayman.	I want to love and to be loved.		
8922	SEV-	NX+ni ~+ib qol-	Feelings	fall in love, be in love with X	Mening do'stim yosh o'qituvchini sevib qolgan.	My friend is in love with a young schoolmistress.	U uni bir qarashda sevib qoldi.	She fell in love with him at first sight.
